C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/20/2015,20:00:00,REGULAR,0005054788,0001712328                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/14/2015,00:00:00,REGULAR,0004679948,0001021181                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/14/2015,04:00:00,REGULAR,0004679977,0001021183                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/14/2015,08:00:00,REGULAR,0004679984,0001021195                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/14/2015,12:00:00,REGULAR,0004680072,0001021236                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/14/2015,16:00:00,REGULAR,0004680285,0001021268                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/14/2015,20:00:00,REGULAR,0004680604,0001021310                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/15/2015,00:00:00,REGULAR,0004680744,0001021339                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/15/2015,04:00:00,REGULAR,0004680770,0001021347                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/15/2015,08:00:00,REGULAR,0004680780,0001021352                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/15/2015,12:00:00,REGULAR,0004680847,0001021407                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/15/2015,16:00:00,REGULAR,0004681030,0001021452                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/15/2015,20:00:00,REGULAR,0004681249,0001021476                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/16/2015,00:00:00,REGULAR,0004681358,0001021492                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/16/2015,04:00:00,REGULAR,0004681369,0001021493                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/16/2015,08:00:00,REGULAR,0004681405,0001021530                                     
