movie_title,domestic_total_gross,runtime,budget,release_date,distributor,genre,actors,director,producers,rank_year,rank_history,number_theaters,close_date,imdb_rating,metascore_rating,rt_critics,rt_audience,video_sales
The Empire Strikes Back,"$209,398,025",2 hrs. 9 min.,$18 million,"May 21, 1980",Fox,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",['Irvin Kershner'],['George Lucas (Executive)'],1,60,"1,278 theaters",,88,78,96,97,"$18,995,694"
9 to 5,"$103,290,500",1 hrs. 50 min.,N/A,"December 19, 1980",Fox,['Comedy'],"['Jane Fonda', 'Lily Tomlin', 'Dolly Parton']",Colin Higgins,,2,558,,,66,,82,73,
Stir Crazy,"$101,300,000",1 hrs. 51 min.,N/A,"December 12, 1980",Columbia,"['Comedy', 'Crime']","['Gene Wilder', 'Richard Pryor', 'Georg Stanford Brown']",['Sidney Poitier'],,3,584,,,68,5,None,None,
Airplane!,"$83,453,539",1 hrs. 28 min.,$3.5 million,"June 27, 1980",Paramount,['Comedy'],"['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen']","['Jim Abrahams', 'David Zucker', 'Jerry Zucker']",['Jim Abrahams (executive producer)Hunt Lowry* (Associate)David Zucker (executive producer)Jerry Zucker (executive producer)'],4,756,,,78,,,,
Any Which Way You Can,"$70,687,344",1 hrs. 56 min.,N/A,"December 17, 1980",Warner Bros.,"['Action', 'Comedy']","['Clint Eastwood', 'Sondra Locke', 'Geoffrey Lewis']",Buddy Van Horn,,5,957,,,60,,20,45,
Private Benjamin,"$69,847,348",1 hrs. 50 min.,N/A,"October 10, 1980",Warner Bros.,"['Comedy', 'War']","['Goldie Hawn', 'Eileen Brennan', 'Armand Assante']",Howard Zieff,"['Nancy Meyers', 'Charles Shyer']",6,980,,,60,,,,
Coal Miner's Daughter,"$67,182,787",2 hrs. 5 min.,N/A,"March 7, 1980",Universal,"['Biography', 'Drama', 'Music']","['', 'IMDb', 'Movies']",['Michael Apted'],,7,"1,015",,,75,,100,86,
Smokey and the Bandit II,"$66,132,626",1 hrs. 41 min.,N/A,"August 15, 1980",Universal,"['Action', 'Comedy', 'Crime', 'Romance']","['', 'IMDb', 'Movies']",Hal Needham,,8,"1,042",,,50,,20,46,
The Blue Lagoon,"$58,853,106",1 hrs. 45 min.,N/A,"June 20, 1980",Columbia,"['Adventure', 'Drama', 'Romance']","['', 'IMDb', 'Movies']",Randal Kleiser,,9,"1,201",,,57,,11,54,
The Blues Brothers,"$57,229,890",2 hrs. 30 min.,N/A,"June 20, 1980",Universal,"['Action', 'Comedy', 'Crime', 'Music']","['', 'IMDb', 'Movies']",['John Landis'],['Robert K. Weiss'],10,"1,246",,,80,,87,93,
Ordinary People,"$54,766,923",2 hrs. 4 min.,N/A,"September 19, 1980",Paramount,['Drama'],"['', 'IMDb', 'Movies']",['Robert Redford'],,11,"1,307",,,78,85,92,88,
Popeye,"$49,823,037",1 hrs. 53 min.,N/A,"December 12, 1980",Paramount,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']","['', 'IMDb', 'Movies']",['Robert Altman'],,12,"1,470",901 theaters,,51,48,None,None,
Urban Cowboy,"$46,918,287",2 hrs. 14 min.,N/A,"June 6, 1980",Paramount,"['Drama', 'Romance', 'Western']","['', 'IMDb', 'Movies']",James Bridges,,13,"1,553",,,61,,77,82,
The Shining,"$44,017,374",2 hrs. 26 min.,$19 million,"May 23, 1980",Warner Bros.,['Horror'],"['', 'IMDb', 'Movies']",Stanley Kubrick,,14,"1,633",,,85,6,92,93,
Seems Like Old Times,"$43,995,918",1 hrs. 40 min.,N/A,"December 19, 1980",Columbia,"['Comedy', 'Romance']","['', 'IMDb', 'Movies']",Jay Sandrich,,15,"1,643",,,67,,75,64,
Caddyshack,"$39,846,344",1 hrs. 39 min.,N/A,"July 25, 1980",Warner Bros.,"['Comedy', 'Sport']","['', 'IMDb', 'Movies']",['Harold Ramis'],['Jon Peters (executive)'],17,"1,814",,,74,,76,88,
Friday the 13th,"$39,754,601",1 hrs. 35 min.,N/A,"May 9, 1980",Paramount,['Horror'],"['', 'IMDb', 'Movies']",Marcus Nispel,,18,"1,818",,,56,34,58,61,
Brubaker,"$37,121,708",2 hrs. 12 min.,N/A,"June 20, 1980",Fox,"['Crime', 'Drama']","['', 'IMDb', 'Movies']",Stuart Rosenberg,,19,"1,950",,,71,,75,75,
Little Darlings,"$34,326,249",1 hrs. 35 min.,N/A,"March 21, 1980",Paramount,"['Comedy', 'Drama']","['', 'IMDb', 'Movies']",Ronald F. Maxwell,,20,"2,099",,,64,,None,75,
Dressed to Kill,"$31,899,000",1 hrs. 45 min.,$6.5 million,"June 23, 1980",Orion Pictures,"['Mystery', 'Thriller']","['', 'IMDb', 'Movies']",['Brian De Palma'],,21,"2,238",,,71,,84,75,
The Jazz Singer,"$27,118,000",1 hrs. 55 min.,N/A,"December 19, 1980",Universal,"['Drama', 'Music', 'Romance']","['Laurence Olivier', 'Neil Diamond', 'Lucie Arnaz']",Richard Fleischer,,22,"2,492",,,57,,73,57,
Flash Gordon,"$27,107,960",1 hrs. 51 min.,N/A,"December 5, 1980",Universal,"['Action', 'Adventure', 'Sci-Fi']","['', 'IMDb', 'Movies']",Mike Hodges,,23,"2,495",,,64,63,81,70,
Lady and the Tramp,"$26,114,207",1 hrs. 16 min.,N/A,"March 7, 1980",Buena Vista,"['Animation', 'Adventure', 'Comedy', 'Family', 'Romance']","['Barbara Luddy', 'Larry Roberts', 'Peggy Lee']","['Clyde Geronimi', 'Wilfred Jackson']",,24,,,,74,,89,80,
The Elephant Man,"$26,010,864",2 hrs. 3 min.,N/A,"October 3, 1980",Paramount,"['Biography', 'Drama']","['', 'IMDb', 'Movies']",['David Lynch'],,25,"2,563",,,82,,90,93,
Bronco Billy,"$24,265,659",1 hrs. 56 min.,N/A,"June 11, 1980",Warner Bros.,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Western']","['Clint Eastwood', 'Sondra Locke', 'Geoffrey Lewis']",['Clint Eastwood'],,26,"2,697",,,60,,82,48,
Raging Bull,"$23,334,953",2 hrs. 9 min.,N/A,"November 14, 1980",MGM,"['Biography', 'Drama', 'Sport']","['', 'IMDb', 'Movies']",['Martin Scorsese'],['Irwin Winkler'],27,"2,751",,,83,92,98,93,
Xanadu,"$22,762,571",1 hrs. 36 min.,N/A,"August 8, 1980",Universal,"['Fantasy', 'Musical', 'Romance']","['Olivia Newton-John', 'Gene Kelly', 'Michael Beck']",['Robert Greenwald'],"['Lawrence Gordon', 'Joel Silver']",28,"2,797",,,50,35,39,58,
